paradigm	nbRepos
Concurrent computing    14322
Ajax	264131
Array	5375
Functional	734952
Virtual machine	157618
Strongly-typed	162299
Mathematics	4681
Stack-oriented	17
Structured	264716
Object-oriented	1052295
Combinatory logic	4681
Type inference	5154
Interpreted language	433761
Imperative	1007972
Multi-paradigm	739348
Design by contract	55
Actor model	2061
Declarative	10510
Logic	5829
Compiled language	11565
Concatenative	17
Dynamic	237626
Procedural	382669
Generic	284680
Write once run anywhere	157618
Component-oriented	32170
Reflective	482956
Prototype-based	281795
Lazy evaluation	4681
